Qty,Designator,Footprint,Comment,LCSC Part #,Description,Device
2,"R13, R18",52101-101-REV-A_RC-MASTER-SMD_R0603MP,100R,C22775,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
1,J1,FCI_10118193-0001LF,10118193-0001LF,C132562,Micro USB B Type Receptacle Check prices,10118193-0001LF
2,"C2, C5",RC-MASTER-SMD_C0603MP,10uF,C96446,NON-POLARIZED CAP,RC-MASTER-SMD_C_0603MP
9,"R5, R6, R7, R8, R9, R10, R11, R16, R25",52101-101-REV-A_RC-MASTER-SMD_R0603MP,1K,C21190 ,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
3,"C1, C3, C4",RC-MASTER-SMD_C0603MP,1uF,C15849,NON-POLARIZED CAP,RC-MASTER-SMD_C_0603MP
9,"PA0_LED, PA1_LED, PA2_LED, PA3_LED, PA4_LED, PA5_LED, PA6_LED, PA7_LED, PWR_LED",CHIP-LED0603,20mA,C434421,LED,LEDCHIP-LED0603
1,3V3_REG1,NCP718BSN330T1G,3V3,C587158,,NCP718BSN330T1G
2,"R3, R4",52101-101-REV-A_RC-MASTER-SMD_R0603MP,3k3,C22978,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
1,U1,QFN50P400X400X80-25N,CP2104-F03-GM,C47742,Silabs CP2104 USB to UART Bridge,CP2104-F03-GM
1,U$2,LSM6DS3TR,LSM6DS3TR-IMU,C967633,,LSM6DS3TR-IMU
1,JP1,2X05,PINHD-2X5,C225520,PIN HEADER,PINHD-2X5
3,"BUT0, BUT1, FORCE_RESET",PTS645(SMT),PTS645SM43SMTR92LFS,C127509,"C & K COMPONENTS - PTS645SM43SMTR92LFS - SWITCH, SPST, 0.05A, 12VDC, SMD, 4.3MM",PTS645SM43SMTR92LFS
1,U5,DFN250X250X100-9N,SHT30-DIS-B,C2687423,SHT3x Series 5.5 V Â±3 %RH 0 to 100% Temperature and Humidity Sensor - DFN-8 Check availability,SHT30-DIS-B
1,U$1,SOP65P640X120-20N,STM32G030F6P6TR,C529330,,STM32G030F6P6TR
